Date,AAPL,AMZN,BTC-USD,GOOGL,MSFT,NFLX,TSLA
2021-01-04,125.85671997070312,159.3314971923828,31971.9140625,85.59902954101562,208.40655517578125,52.2859992980957,243.2566680908203
2021-01-05,127.41278076171875,160.92550659179688,33992.4296875,86.28932189941406,208.60757446289062,52.08000183105469,245.0366668701172
2021-01-06,123.12385559082031,156.91900634765625,36824.36328125,85.43785095214844,203.19850158691406,50.04899978637695,251.9933319091797
2021-01-07,127.32523345947266,158.10800170898438,39371.04296875,87.98976135253906,208.9809112548828,50.888999938964844,272.0133361816406
2021-01-08,128.42420959472656,159.13499450683594,40797.609375,89.1546401977539,210.2542266845703,51.040000915527344,293.3399963378906
2021-01-09,128.42420959472656,159.13499450683594,40254.546875,89.1546401977539,210.2542266845703,51.040000915527344,293.3399963378906
2021-01-10,128.42420959472656,159.13499450683594,38356.44140625,89.1546401977539,210.2542266845703,51.040000915527344,293.3399963378906
2021-01-11,125.43850708007812,155.7104949951172,35566.65625,87.09465789794922,208.21507263183594,49.90999984741211,270.39666748046875
2021-01-12,125.26347351074219,156.04150390625,33922.9609375,86.1594009399414,205.76422119140625,49.42499923706055,283.14666748046875
2021-01-13,127.29608917236328,158.29449462890625,37316.359375,86.64636993408203,207.11410522460938,50.77899932861328,284.8033447265625
2021-01-14,125.37041473388672,156.37350463867188,39187.328125,85.83656311035156,203.93569946289062,50.08599853515625,281.6666564941406
2021-01-15,123.64901733398438,155.21249389648438,36825.3671875,85.67291259765625,203.58145141601562,49.79800033569336,275.38665771484375
2021-01-16,123.64901733398438,155.21249389648438,36178.140625,85.67291259765625,203.58145141601562,49.79800033569336,275.38665771484375
2021-01-17,123.64901733398438,155.21249389648438,35791.27734375,85.67291259765625,203.58145141601562,49.79800033569336,275.38665771484375
2021-01-18,123.64901733398438,155.21249389648438,36630.07421875,85.67291259765625,203.58145141601562,49.79800033569336,275.38665771484375
2021-01-19,124.32007598876953,156.03799438476562,36069.8046875,88.49211883544922,207.20985412597656,50.176998138427734,281.51666259765625
2021-01-20,128.4047393798828,163.16900634765625,35547.75,93.2329330444336,214.77294921875,58.63399887084961,283.48333740234375
2021-01-21,133.1118621826172,165.34950256347656,30825.69921875,93.43524932861328,215.3760528564453,57.98400115966797,281.663330078125
2021-01-22,135.2514190673828,164.6114959716797,33005.76171875,93.8523178100586,216.3142852783203,56.516998291015625,282.21331787109375
2021-01-23,135.2514190673828,164.6114959716797,32067.642578125,93.8523178100586,216.3142852783203,56.516998291015625,282.21331787109375
2021-01-24,135.2514190673828,164.6114959716797,32289.37890625,93.8523178100586,216.3142852783203,56.516998291015625,282.21331787109375
2021-01-25,138.99578857421875,164.6999969482422,32366.392578125,93.93760681152344,219.7416229248047,55.678001403808594,293.6000061035156
2021-01-26,139.22918701171875,166.30650329589844,32569.849609375,94.6155014038086,222.42218017578125,56.19300079345703,294.36334228515625
2021-01-27,138.15939331054688,161.62899780273438,30432.546875,90.20149230957031,222.96788024902344,52.327999114990234,288.0533447265625
2021-01-28,133.32582092285156,161.88099670410156,33466.09765625,91.90044403076172,228.74073791503906,53.86000061035156,278.4766540527344
2021-01-29,128.3367156982422,160.30999755859375,34316.38671875,90.6190414428711,222.0679931640625,53.23899841308594,264.510009765625
2021-01-30,128.3367156982422,160.30999755859375,34269.5234375,90.6190414428711,222.0679931640625,53.23899841308594,264.510009765625
2021-01-31,128.3367156982422,160.30999755859375,33114.359375,90.6190414428711,222.0679931640625,53.23899841308594,264.510009765625
2021-02-01,130.4568328857422,167.1439971923828,33537.17578125,93.87760162353516,229.43003845214844,53.90399932861328,279.9366760253906
2021-02-02,131.2834930419922,169.0,35510.2890625,95.16943359375,229.29603576660156,54.816001892089844,290.92999267578125
2021-02-03,130.26229858398438,165.62649536132812,37472.08984375,102.10014343261719,232.63717651367188,53.94499969482422,284.89666748046875
2021-02-04,133.61753845214844,166.5500030517578,36926.06640625,101.83979797363281,231.6893768310547,55.215999603271484,283.3299865722656
2021-02-05,133.20364379882812,167.6074981689453,38144.30859375,103.58536529541016,231.871337890625,55.07899856567383,284.07666015625
2021-02-06,133.20364379882812,167.6074981689453,39266.01171875,103.58536529541016,231.871337890625,55.07899856567383,284.07666015625
2021-02-07,133.20364379882812,167.6074981689453,38903.44140625,103.58536529541016,231.871337890625,55.07899856567383,284.07666015625
2021-02-08,133.3497314453125,166.14700317382812,46196.46484375,103.37163543701172,232.1298065185547,54.79199981689453,287.8066711425781
2021-02-09,132.47314453125,165.25,46481.10546875,102.91887664794922,233.37435913085938,55.90700149536133,283.1533203125
2021-02-10,131.86924743652344,164.32899475097656,44918.18359375,103.46882629394531,232.46484375,56.35900115966797,268.2733459472656
2021-02-11,131.6160430908203,163.10650634765625,47909.33203125,103.58139038085938,234.06361389160156,55.75899887084961,270.5533447265625
2021-02-12,131.8498077392578,163.885498046875,47504.8515625,103.89282989501953,234.5423126220703,55.652000427246094,272.0400085449219
2021-02-13,131.8498077392578,163.885498046875,47105.515625,103.89282989501953,234.5423126220703,55.652000427246094,272.0400085449219
2021-02-14,131.8498077392578,163.885498046875,48717.2890625,103.89282989501953,234.5423126220703,55.652000427246094,272.0400085449219
2021-02-15,131.8498077392578,163.885498046875,47945.05859375,103.89282989501953,234.5423126220703,55.652000427246094,272.0400085449219
2021-02-16,129.7264404296875,163.44749450683594,49199.87109375,104.66990661621094,233.3073272705078,55.72800064086914,265.40667724609375
2021-02-17,127.43755340576172,165.4320068359375,52149.0078125,105.06266021728516,234.32444763183594,55.13399887084961,266.04998779296875
2021-02-18,126.33702087402344,166.4114990234375,51679.796875,104.42741394042969,233.93106079101562,54.821998596191406,262.4599914550781
2021-02-19,126.4928207397461,162.4949951171875,55888.1328125,103.58436584472656,231.22506713867188,54.02199935913086,260.4333190917969
2021-02-20,126.4928207397461,162.4949951171875,56099.51953125,103.58436584472656,231.22506713867188,54.02199935913086,260.4333190917969
2021-02-21,126.4928207397461,162.4949951171875,57539.9453125,103.58436584472656,231.22506713867188,54.02199935913086,260.4333190917969
2021-02-22,122.72344207763672,159.03700256347656,54207.3203125,101.87104034423828,225.02630615234375,53.37799835205078,238.1666717529297
2021-02-23,122.58708953857422,159.72500610351562,48824.42578125,102.16162872314453,223.83645629882812,54.6150016784668,232.94667053222656
2021-02-24,122.09036254882812,157.97650146484375,49705.33203125,103.33642578125,225.06468200683594,55.340999603271484,247.33999633789062
2021-02-25,117.8437271118164,152.85800170898438,47093.8515625,99.97124481201172,219.7295684814453,54.66999816894531,227.4066619873047
2021-02-26,118.1067123413086,154.64649963378906,46339.76171875,100.26679229736328,222.982421875,53.8849983215332,225.1666717529297
2021-02-27,118.1067123413086,154.64649963378906,46188.453125,100.26679229736328,222.982421875,53.8849983215332,225.1666717529297
2021-02-28,118.1067123413086,154.64649963378906,45137.76953125,100.26679229736328,222.982421875,53.8849983215332,225.1666717529297
2021-03-01,124.4668960571289,157.3070068359375,49631.2421875,102.63473510742188,227.35806274414062,55.06399917602539,239.47666931152344
2021-03-02,121.86634063720703,154.72650146484375,48378.98828125,102.37784576416016,224.4121856689453,54.78200149536133,228.81333923339844
2021-03-03,118.8858871459961,150.25,50538.2421875,99.74610137939453,218.3573760986328,52.06999969482422,217.73333740234375
2021-03-04,117.00609588623047,148.8784942626953,48561.16796875,100.86286926269531,217.56097412109375,51.12900161743164,207.14666748046875
2021-03-05,118.26252746582031,150.0229949951172,48927.3046875,103.99398803710938,222.23399353027344,51.638999938964844,199.31666564941406
2021-03-06,118.26252746582031,150.0229949951172,48912.3828125,103.99398803710938,222.23399353027344,51.638999938964844,199.31666564941406
2021-03-07,118.26252746582031,150.0229949951172,51206.69140625,103.99398803710938,222.23399353027344,51.638999938964844,199.31666564941406
2021-03-08,113.33412170410156,147.59750366210938,52246.5234375,99.55220794677734,218.19430541992188,49.33300018310547,187.6666717529297
2021-03-09,117.94110870361328,153.1425018310547,54824.1171875,101.18173217773438,224.32583618164062,50.64400100708008,224.52667236328125
2021-03-10,116.85999298095703,152.8820037841797,56008.55078125,100.97494506835938,223.02084350585938,50.45399856567383,222.68666076660156
2021-03-11,118.78849029541016,155.67950439453125,57805.12109375,104.16606903076172,227.5403289794922,52.305999755859375,233.1999969482422
